kor_sentence,labels
상저하고? 상고하저?…'눈물의 손절' 올해는 다를까 [2023 증시전망 上],0
"""올 한국증시, 미국보다 나을 수도""…펀드매니저들 입 모았다 [다시 열자! 3000시대]",0
"""1800억 규모 기술 이전""...알테오젠 '강세'",1
"아모레퍼시픽, 안세홍 대표이사 사임[주목 e공시]",0
(마감)프로그램 290억 매도 우위,2
"""에스티팜, 올해부터 올리고 API 이익 성장할 것…목표가↑""-상상인",1
시원찮은 여행주…中 관광객 믿고 담아도 될까,0
신인 데뷔·신규 컴백…엔터株 일제히 강세,1
"코스피, 새해 첫날 3000선 돌파…외인 강한 순매수",1
한화시스템 4%↑‥ 470억 '천궁 다기능레이다 PBL' 사업계약,1
" 원/달러 환율 1.6원 내린 1,271.0원(마감)",0
"""'1월 효과' 글쎄…LG에너지솔루션發 블랙홀 대비해야""",0
"""옐런은 反가상화폐로 유명""…美, 비트코인 규제 나서나",0
"Today's Pick : 삼성SDI, LG디스플레이, 대웅제약",0
"코스피, 개인·외인 '사자'에 상승 출발",1
"""상업용 부동산 대세는 00000""…관련주도 급등",1
"알에프바이오, 보툴리눔톡신 및 HA필러 신공장 설립 착수",0
" 원/달러 환율 2.3원 오른 1,194.1원(마감)",1
(마감)프로그램 2183억 매수 우위,1
"""대한항공, 화물운임 하락에 수익성 악화 전망…목표가↓""-흥국",2
"네이버, 작년 4분기 영업익 추정치 하회 예상…목표가 7.4%↓-이베스트",2
한국토지신탁 작년 2천146억원 수주…창사 이래 최대,1
중국 베이징올림픽 한달 앞 디지털위안 앱 출시,0
"""대출 회복·대규모 이익""…은행주, 증권가 호평에 '강세'",1
(마감)코스피 외국인 5078억 순매수,1
"미스터블루 ""자회사 블루포션게임즈, '에오스 레드' 日 시장에 선보여""",0
 삼성전자 작년 4분기 영업이익 4조3천억원…전년 대비 69%↓,2
" 원/달러 환율 0.6원 내린 1,087.0원(개장)",0
"조일알미늄, 2차전지 양극박 소재 공급계약 체결 소식에 주가 '급등'",1
"원/달러 환율 보합세…1,260원대 후반 등락",0
"수출입은행, 30억달러 외화채 발행…국내기관 최대규모",0
(마감)코스피 외국인 6697억 순매도,2
(마감)코스피 외국인 3160억 순매수,1
"구두개입에도 환율 1,200원 돌파…17개월만에 최고치",1
"""지난해 가상자산 시장, 39억달러 상당 손실…해킹이 95% 차지""",0
" 이녹스첨단소재, 4분기 호실적 기대감에 '강세'",1
"SK케미칼, 스탠다임과 류머티즘관절염 치료 후보 발굴",1
LG전자 작년 매출 74조7천억원 '사상 최대'…처음으로 美월풀 제친듯,1
"외국인·기관 쌍끌이…SK텔레콤, 10년來 최대폭 상승",1
" 국제(인민은행, 기업 해외융자 제한 완화…위안화…)",1
 (8일) 금호산업 등,0
"코스피, 美 긴축정책 여파 지속…""주가 과민반응시 매수기회""[주간전망]",1
 '회장' JY의 첫 투자 레인보우로보틱스…제2의 '삼바' 될까,0
"LG전자, 어닝쇼크 딛고 나흘째 상승…증권가 ""최악 국면 지났다""",1
(마감)코스피 기관 7380억 매수 우위,1
"""이마트, 실적 부진·투자 매력 감소…투자의견↓""-IBK",2
"에디슨EV, 쌍용차 인수 본계약 체결소식에 '급등'",1
"""목표가 30% 하향…자회사 상장시 주주가치 훼손""",2
"쌍용정보통신, EBS와 112억 규모 공급계약 체결[주목 e공시]",1
"세계 각국 올해 금리 두고 갈림길…""한·미 인상 vs 중·러 인하""",0
"""자율주행차 숨은 수혜주""…해성디에스, 신고가 '터치'",1
"""아모레퍼시픽, 중장기적 주가 우상향 기대에 목표가↑""-신한",1
"에디슨EV, 쌍용차 인수 본계약 체결 소식에 이틀째 급등",1
"쌍방울, 김성태 전 회장 검거 소식에 장 초반 약세",2
"'애플카' 호재 현대차, 삼바 제치고 시총 4위 ""주가 더 간다""",1
" 원/달러 환율 4.4원 내린 1,194.7원(마감)",0
(마감)코스피 기관 1724억 매수 우위,1
"""솔루엠, 올해 호실적 전망…ESL 성장성 확인""-IBK",1
"이마트, '쓱닷컴 유료 멤버십' 출시로 동반 수혜…경쟁력 확보-한국",1
" 원/달러 환율 0.7원 오른 1,098.0원(개장)",1
